accession_number,accession_date,title,maker,medium,description,classification,creation_date_avg
A.1.490,2013-07-01,"A Rural Landscape, Giuseppe Zais",,,photograph,WCMA-Prendergast,1905.5
A.1.491,2013-07-01,"Postcard from the Musée du Louvre. Assiette Dumas, XVIe Siècle. Plate Dannaseus. 16th century.",,photograph,photograph,WCMA-Prendergast,1905.5
A.1.492,2013-07-01,Label reads: Bayeux-Tappisstrie de la Reine Mathilde,,,label,WCMA-Prendergast,1905.5
A.1.493,2013-07-01,"Ornate carved panel with figures, birds, vines. Musée de Cluny. Bahut du XVI.e siècle.",,,photograph,WCMA-Prendergast,1905.5
A.1.494,2013-07-01,"Carved sarcophagus with peacocks, grapevines, and symbols.",,,"photograph. Sarcophagus reads: ""HIC REQVIESC IT IN PACE THEODORVS V.B. ARCHEPISCOVS""",WCMA-Prendergast,1905.5
A.1.495,2013-07-01,"Musée de Cluny - Moules à patisseries, XVIe. Siècle",,,photograph,WCMA-Prendergast,1905.5
A.1.496,2013-07-01,"Musée de Cluny, Battle scene with ornate frame",,,photograph,WCMA-Prendergast,1905.5
A.1.497,2013-07-01,Musée de Cluny. Chest with bearded figure holding key surrounded by floral pattern,,,photograph,WCMA-Prendergast,1905.5
A.1.498,2013-07-01,Musée de Cluny. Chest with carved figures and floral designs,,,photograph,WCMA-Prendergast,1905.5
A.1.499,2013-07-01,"Musée de Cluny. Credence, regne de Louis XII",,,photograph,WCMA-Prendergast,1905.5
A.1.500,2013-07-01,Venezia - La Vergine e Santi Lambertini- R. Acad. Anderson - Roma,,,photograph,WCMA-Prendergast,1905.5
A.1.501,2013-07-01,"Canal Scene, Venice",,,photograph,WCMA-Prendergast,1905.5
A.1.502.A,2013-07-01,Flight of the Birds,,,photograph,WCMA-Prendergast,1905.5
A.1.502.B,2013-07-01,Flight of the Birds,,,photograph,WCMA-Prendergast,1905.5
A.1.502.C,2013-07-01,Fantasy with Three Figures,,,photograph,WCMA-Prendergast,1905.5
A.1.502.D,2013-07-01,Fantasy with Three Figures,,,photograph,WCMA-Prendergast,1905.5
A.1.502.E,2013-07-01,The Spirit of the Hunt,,,photograph,WCMA-Prendergast,1905.5
A.1.502,2013-07-01,Promenade by Maurice Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.503,2013-07-01,Landscape by Maurice Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.504,2013-07-01,Fantasy by Maurice Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.505,2013-07-01,Central Park New York by Maurice Prendergast,,,photograph,WCMA-Prendergast,1901.0
A.1.506,2013-07-01,The Promenade by Maurice Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.507,2013-07-01,Quay and Steps - Venice by Maurice Prendergast,,,photograph,WCMA-Prendergast,1898.0
A.1.508,2013-07-01,Fishing Sloops by Maurice Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.509,2013-07-01,Along the Shore by Maurice Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.510,2013-07-01,Gloucester Harbor by Maurice Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.511.A,2013-07-01,Unknown Title - Landscape with Figures by Maurice Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.512.A,2013-07-01,Photograph of work by Maurice Prendergast,,sepia photograph,Sepia photograph (1 of 7),WCMA-Prendergast,1915.0
A.1.513,2013-07-01,Fragments (4) of mounted photos of works by Maurice Prendergast (?),,,photograph. Various sizes.,WCMA-Prendergast,1905.5
A.1.514.A,2013-07-01,Fantasy by Charles Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.515,2013-07-01,St. Malo by Maurice Prendergast,,,photograph,WCMA-Prendergast,1909.0
A.1.516,2013-07-01,"New England Beach, by Maurice Prendergast",,,photograph,WCMA-Prendergast,1896.0
A.1.517,2013-07-01,St. Malo by Maurice Prendergast,,,photograph,WCMA-Prendergast,1909.0
A.1.518,2013-07-01,The Hay Cart by Maurice Prendergast,,,photograph,WCMA-Prendergast,1917.5
A.1.519,2013-07-01,"May Day, Central Park, by Maurice Prendergast",,,photograph,WCMA-Prendergast,1901.0
A.1.520,2013-07-01,"The Bridge, Venice. By Maurice Prendergast",,,photograph,WCMA-Prendergast,1899.0
A.1.521,2013-07-01,"Piazza di San Marco, Venice by Maurice Prendergast",,,photograph,WCMA-Prendergast,1905.5
A.1.522,2013-07-01,"Revere Beach, Boston. By Maurice Prendergast",,,photograph,WCMA-Prendergast,1890.0
A.1.523,2013-07-01,"The Canal, Venice by Maurice Prendergast",,,photograph,WCMA-Prendergast,1905.5
A.1.524.A,2013-07-01,"The Custom House, Venice. By Maurice Prendergast.",,,photograph,WCMA-Prendergast,1908.5
A.1.525,2013-07-01,Street in Venice by Maurice Prendergast,,,photograph,WCMA-Prendergast,1898.0
A.1.526,2013-07-01,The Boat Landing by Maurice Prendergast,,,photograph,WCMA-Prendergast,1903.5
A.1.527,2013-07-01,Rio di San Severo by Maurice Prendergast,,,photograph,WCMA-Prendergast,1908.5
A.1.528,2013-07-01,"Pincian Hill, Rome by Maurice Prendergast",,,photograph,WCMA-Prendergast,1898.0
A.1.529,2013-07-01,The Road to the Beach by Maurice Prendergast,,,photograph,WCMA-Prendergast,1915.0
A.1.530,2013-07-01,"By the Shore, New Hampshire by Maurice Prendergast",,,photograph,WCMA-Prendergast,1912.0
A.1.531,2013-07-01,"Autumn, New Hampshire by Maurice Prendergast",,,photograph,WCMA-Prendergast,1912.0
A.1.532,2013-07-01,"Doorway, Venice by Maurice Prendergast",,,photograph,WCMA-Prendergast,1898.0
A.1.533,2013-07-01,"The Bridge of Boats, Venice, by Maurice Prendergast",,,photograph,WCMA-Prendergast,1898.0
A.1.534,2013-07-01,The Cove,,,photograph,WCMA-Prendergast,1917.0
A.1.535,2013-07-01,The Grove by Maurice Prendergast,,,photograph,WCMA-Prendergast,1922.0
A.1.536,2013-07-01,Ring-Around-A-Rosy by Maurice Prendergast,,,photograph,WCMA-Prendergast,1901.0
A.1.537,2013-07-01,Village by Maurice Prendergast,,,photograph,WCMA-Prendergast,1915.5
A.1.538,2013-07-01,From the Terrace by Maurice Prendergast,,,photograph,WCMA-Prendergast,1908.5
A.1.539,2013-07-01,The Excursionists by Maurice Prendergast,,,photograph,WCMA-Prendergast,1903.5
A.1.540,2013-07-01,The Carousel by Maurice Prendergast,,,photograph,WCMA-Prendergast,1899.5
A.1.541,2013-07-01,"Festival Night, Venice by Maurice Prendergast",,,photograph,WCMA-Prendergast,1898.0
A.1.542,2013-07-01,"The Road to the Village, New Hampshire",,,photograph,WCMA-Prendergast,1912.0
A.1.543,2013-07-01,"The Fountain, Boston. By Maurice Prendergast",,,photograph,WCMA-Prendergast,1891.0
A.1.544,2013-07-01,The Spirit of  the Hunt by Maurice & Charles Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.545,2013-07-01,The Swans by Maurice Prendergast,,,photograph,WCMA-Prendergast,1917.0
A.1.546,2013-07-01,"The Festival, Venice by Maurice Prendergast",,,photograph,WCMA-Prendergast,1905.5
A.1.511.B,2013-07-01,Unknown title- landscape with figures by Maurice Prendergast,,,"photograph. This is same photographer as A.1.511.a, but has signature LL and LR.",WCMA-Prendergast,1905.5
A.1.512.B,2013-07-01,Landscape with Figures by Maurice Prendergast,,sepia photograph,Sepia photograph (1 of 7),WCMA-Prendergast,1915.0
A.1.512.C,2013-07-01,Bathing beach by Maurice Prendergast,,sepia photograph,Sepia photograph (1 of 7),WCMA-Prendergast,1915.0
A.1.512.D,2013-07-01,Unknown (Landscape with Figures) by Maurice Prendergast,,sepia photograph,Sepia photograph (1 of 7),WCMA-Prendergast,1915.0
A.1.512.E,2013-07-01,White Horse by Maurice Prendergast,,sepia photograph,Sepia photograph (1 of 7),WCMA-Prendergast,1915.0
A.1.512.F,2013-07-01,Unknown (figures) by Maurice Prendergast,,sepia photograph,Sepia photograph (1 of 7),WCMA-Prendergast,1915.0
A.1.512.G,2013-07-01,Picnic Grove by Maurice Prendergast,,sepia photograph,Sepia photograph (1 of 7),WCMA-Prendergast,1915.0
A.1.514.B,2013-07-01,"Canal, Venice by Maurice Prendergast",,,photograph,WCMA-Prendergast,1912.0
A.1.514.C,2013-07-01,Central Park by Maurice Prendergast,,,photograph,WCMA-Prendergast,1900.0
A.1.514.D,2013-07-01,Fantasy (Large figures by a stream) by Maurice Prendergast,,,photograph,WCMA-Prendergast,1912.0
A.1.514.E,2013-07-01,Beach at Gloucester by Maurice Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.514.F,2013-07-01,Beach at Gloucester by Maurice Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.514.G,2013-07-01,Beach at Gloucester by Maurice Prendergast,,,photograph,WCMA-Prendergast,1913.0
A.1.514.H,2013-07-01,The Idlers by Maurice Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.514.I,2013-07-01,Figures & Deer by Charles Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.524.B,2013-07-01,At the Seaside. By Maurice Prendergast,,,photograph,WCMA-Prendergast,1914.0
A.1.547,2013-07-01,"""Balieff's Chauve-Souris of Moscow""",,paper,magazine,WCMA-Prendergast,1905.5
A.1.550,2013-07-01,"""Shadowland""",,paper,Article on Maurice Prendergast p. 11,WCMA-Prendergast,1922.0
A.1.552.A,2013-07-01,"""The Arts""",,paper,Article on Maurice Prendergast pp 125-131,WCMA-Prendergast,1924.0
A.1.558,2013-07-01,"""Les Chateaux de France""",,paper,magazine,WCMA-Prendergast,1927.0
A.1.581,2013-07-01,"""Look"" Volume 23. No. 19",,paper,magazine,WCMA-Prendergast,1969.0
A.1.582,2013-07-01,"""Town and Country""",,paper,magazine,WCMA-Prendergast,1972.0
A.1.587,2013-07-01,"""Manhattan, Inc.""",,paper,magazine,WCMA-Prendergast,1989.0
A.1.588.A,2013-07-01,"On the Beach, no. 3, by Maurice Prendergast",,paper,photograph,WCMA-Prendergast,1905.5
A.1.588.B,2013-07-01,"On the Beach, no. 3, by Maurice Prendergast",,,photograph,WCMA-Prendergast,1905.5
A.1.589,2013-07-01,Salem by Maurice Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.590,2013-07-01,Venice by Maurice Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.591,2013-07-01,Bathers Under the Trees by Charles Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.592,2013-07-01,Carved & decorated chest by Charles Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.593,2013-07-01,Dancers by Charles Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.594,2013-07-01,Eve by Charles Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.595,2013-07-01,"Central Park, New York by Charles Prendergast",,,photograph,WCMA-Prendergast,1905.5
A.1.596,2013-07-01,"Four Figures and Animals in a Landscape, Charles Prendergast",,,photograph,WCMA-Prendergast,1905.5
A.1.597,2013-07-01,Four Figures and Animals in a Landscape by Charles Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.598,2013-07-01,Hilltown by Charles Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.599,2013-07-01,Photograph of work by Charles Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.600.A,2013-07-01,Rising Sun by Charles Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.601,2013-07-01,Rising Sun by Charles Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.602,2013-07-01,Screen by Charles Prendergast,,color photograph,color photograph of 3 panel screen,WCMA-Prendergast,1905.5
A.1.603,2013-07-01,Three Panel Screen by Charles Prendergast,,photograph,black and white photograph of 3 panel screen,WCMA-Prendergast,1905.5
A.1.604,2013-07-01,The Spirit of the Hunt by Charles & Maurice Prendergast,,photograph,photograph of a portion of The Spirit of the Hunt,WCMA-Prendergast,1905.5
A.1.605,2013-07-01,Three sketches,,,photograph,WCMA-Prendergast,1938.0
A.1.606,2013-07-01,World's Fair by Charles Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.607,2013-07-01,Zinneas by Charles Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.614,2013-07-01,Armory Show checklist,,,document -13 pages.,WCMA-Prendergast,1905.5
A.1.600.B,2013-07-01,Figures by Charles Prendergast,,,photograph,WCMA-Prendergast,1905.5
A.1.146.F,,"Black and white photograph on a postcard of compagnie generale transatlantique ""Liberté""",,paper,Found inside Nagel's Italy A.1.146.,WCMA-Prendergast,1921.0
A.1.146.G,,Hotel- Restaurant les Cignones business card,,print on paper,"Extra text: ""Tout confort plein centre. 16, Rue maccarani Nice - Tél. 813-88 Angle 13 d. Victor-Hugo face église Américaine a proximité de la mer."" Found inside Nagel's Italy A.1.146.",WCMA-Prendergast,1891.0
A.1.146.H,,Hotel- Restaurant les Cignones business card,,print on paper,"Extra text: ""Tout confort plein centre. 16, Rue maccarani Nice - Tél. 813-88 Angle 13 d. Victor-Hugo face église Américaine a proximité de la mer."" Found inside Nagel's Italy A.1.146.",WCMA-Prendergast,1903.0
A.1.146.I,,"Note about hotels, restaurants, etc. in Italy",,paper,"Found inside ""Nagel's Italy"" A.1.146.",WCMA-Prendergast,1903.0
A.1.146.J,,Town of Siena ticket to enter museum and monuments,,paper,,WCMA-Prendergast,1903.0
A.1.146.K,,Note written in pencil of monetary equations,,paper,"Found in ""Nagel's Italy"" A.1.146",WCMA-Prendergast,1903.0
A.1.146.L,,Handwritten list of hotels in Italy,,paper,"Found in ""Nagel's Italy"" A.1.146. Letterhead: ""CIT: Organisation Internationale de Voyages. Agence officielle des chemins de fer Italiens de l'etat"".",WCMA-Prendergast,1903.0
A.1.146.M,,Handwritten list of hotels in Italy,,paper,"Found in ""Nagel's Italy"" A.1.146. Letterhead: ""CIT: Organisation Internationale de Voyages. Agence officielle des chemins de fer Italiens de l'etat"".",WCMA-Prendergast,1903.0
A.1.166.A,,"Ripped piece of paper found in A.1.166, Paul Cézanne book",,paper,,WCMA-Prendergast,1875.0
A.1.153.A,,Map of Bordeaux,,paper document,"Found inside Guide Michelin  A.1.153 - Printed text: ""Carte Routière Bordeaux-Biarritz dressée par Central Garage"".",WCMA-Prendergast,1905.5
A.1.153.B,,Postcard with one cent Jefferson stamp on it,,paper,Found inside Guide Michelin A.1.153. No writing on postcard.,WCMA-Prendergast,1905.5
A.1.153.C,,Postcard of the Nouvel Hôtel du Louvre à proximité du casino Monte-Carlo,,paper,Postcard found inside Guide Michelin A.1.153.,WCMA-Prendergast,1905.5
A.1.153.D,,Newspaper clipping,,newsprint,Newspaper clipping with advertisements for apartments on recto and advertisements for transatlantic cruises on verso. Found inside Guide Michelin A.1.153.,WCMA-Prendergast,1905.5
A.1.153.E,,Postcard to Le Bureau d'Itinéraires Michelin,,paper,Found inside Guide Michelin A.1.153,WCMA-Prendergast,1905.5
A.1.153.F,,Letter from Michelin & Cie to Charles Prendergast about traveling from Paris to Dunkerque,,paper,Found inside Guide Michelin A.1.153,WCMA-Prendergast,1905.5
A.1.153.G,,"Bookmark from Librarie de France, 610 Fifth Avenue New York 20, N.Y.",,paper,Found inside Guide Michelin A.1.153,WCMA-Prendergast,1905.5
A.1.153.H,,Gd. Hôtel de la Croix d'or,,paper,Image printed on postcard in brown ink. Connected to a map of route from Valence to Paris.  Found inside Guide Michelin A.1.153.,WCMA-Prendergast,1905.5
A.1.153.I,,Gd. Hôtel de la Croix d'or,,paper,Image printed on postcard in brown ink. Connected to a map of route from Valence to Paris.  Found inside Guide Michelin A.1.153.,WCMA-Prendergast,1905.5
A.1.153.J,,"Advertising card for  ""L'aingle Noir Hotel de 1er ordre""",,paper,"""A Fontainbleau"" on front. Inside there is a drawing of the hotel on yellow background. Found inside Guide Michelin A.1.153.",WCMA-Prendergast,1905.5
A.1.149.A,,Pages torn out of a book describing short tours in Italy with map of central Europe on inside pages,,paper,Found inside A.1.149 Cours de Géographie.,WCMA-Prendergast,1905.5
A.1.149.B,,"Book mail order form from Librairie Gedalge, Paris",,paper,6 pages. Found inside A.1.149 Cours de Géographie.,WCMA-Prendergast,1905.5
A.1.149.C,,Note from The National City Bank of New York,,paper,Found inside A.1.149 Cours de Géographie.,WCMA-Prendergast,1929.0
A.1.149.E,,"""Tableau des départements de la France divisés par bassins principaux""",,newspaper clipping,Found inside A.1.149 Cours de Géographie.,WCMA-Prendergast,1905.5
A.1.150.A,,Scrap of paper advertisement for Hotel Méditerranée Cannes,,clipping from a magazine(?),"Found inside La Route des Alpes, A.1.150.",WCMA-Prendergast,1905.5
A.1.201.B,,"Advertisement card for ""The Cock Horse"", 55 Brattle St., Cambridge",,paper,"Found in A.1.201, Toulouse-Lautrec book.",WCMA-Prendergast,1905.5
A.1.201.C,,"Leather bookmark has printed word ""Stockholm"" and has image of man on horse",,leather,"Found in A.1.201, Toulouse-Lautrec book.",WCMA-Prendergast,1905.5
A.1.201.D,,Westport Public Library bookmark,,paper,"Found in A.1.201, Toulouse-Lautrec book.",WCMA-Prendergast,1905.5
A.1.201.E,,"Whitney Museum of American Art announcement of ""A Memorial Exhibition of the Work of William J. Glackens""",,paper,"Found in A.1.201, Toulouse-Lautrec book.",WCMA-Prendergast,1938.0
A.1.211.A,,Black and white print of a Maurice Prendergast work,,paper,"Piece of paper found in A.1.211, ""Maurice Prendergast: American Artists Series"".",WCMA-Prendergast,1905.5
A.1.211.B,,Black and white print of a Maurice Prendergast work,,paper,"Piece of paper found in A.1.211, ""Maurice Prendergast: American Artists Series"".",WCMA-Prendergast,1905.5
A.1.211.C,,Black and white print of a Maurice Prendergast work,,paper,"Piece of paper found in A.1.211, ""Maurice Prendergast: American Artists Series"".",WCMA-Prendergast,1905.5
A.1.211.D,,Black and white print of a Maurice Prendergast work,,paper,"Piece of paper found in A.1.211, ""Maurice Prendergast: American Artists Series"".",WCMA-Prendergast,1905.5
A.1.220.A,,"Card from Margolis & Moss, Santa Fe, New Mexico, describing ""My Lady Nicotine, A Study in Smoke""",,paper,"Found inside A.1.220, ""My Lady Nicotine: A Study in Smoke"", by J.M. Barrie.",WCMA-Prendergast,1905.5
A.1.213.C,,"Essential details in connection with printer's copy of ""Who's Who in New England"" for entry about Charles Prendergast",,paper,"Found in A.1.213 book: ""Charles Prendergast"".",WCMA-Prendergast,1949.0
A.1.210.A,,Postcard from Van Wyck Brooks to Eugénie Prendergast,,paper,"Found in A.1.210, book ""William J. Glackens"".",WCMA-Prendergast,1948.0
A.1.182.A,,Photograph of Il Campanile di San Marco a Venezia,,paper,"Ripped piece of paper found in A.1.182 book, Giotto.",WCMA-Prendergast,1905.5
A.1.187.A,,Photograph of gondolier in Venice,,paper,"Found in A.1.187 book ""Venice seen by the Painter""",WCMA-Prendergast,1905.5
A.1.190.A,,"Librairie Payot receipt for book ""Art in Switzerland""",,paper,"found inside A.1.190, ""Art in Switzerland"".",WCMA-Prendergast,1905.5
A.1.143.A,,Invitation card for a preview of an unnamed exhibition,,paper,"Found inside A.1.143, book Italian Companion and Interpreter, 8th Ed.",WCMA-Prendergast,1905.5
A.1.142.A,,Postcard for suggesting restaurants self-addressed to Duncan Hines,,paper,"Found inside A.1.142, book Duncan Hines ""Adventures in Good Eating"".",WCMA-Prendergast,1905.5
A.1.398,2013-07-01,"Unknown man, Maurice Prendergast, Sr., Charles Prendergast",,Photograph,"Photograph of  man, Maurice Prendergast, Sr., Charles Prendergast and a dog.",WCMA-Prendergast,1899.0
61.27.FRAME,1961,"Frame (empty) to ""Head of a Girl""",,gilt frame,,EXH-Furniture,1553.5
PFL.6.FRAME,,"Frame (empty) for ""Exterior of an Inn with Peasants at a Table""",,gilt frame,,EXH-Furniture,1724.5
1887.1.105.FRAME,,"Frame (empty) for ""Head of a Young Lady""",,gilt frame,,EXH-Furniture,1832.5
55.20.FRAME2,1955,"Frame (empty) for ""Madonna Adoring Child""",,gilt frame,,EXH-Furniture,1449.5
29.1.16.FRAME,1929,"Frame (empty) for ""Madonna and Child with Saints""",,gilt frame with scroll work,,EXH-Furniture,1474.5
75.14.FRAME,1975,"Frame (empty) for ""Moonlight""",,gilt frame,,EXH-Furniture,1877.0
74.13.FRAME,1974,"Frame (empty) for ""Woman and Child by the Sea""",,gilt frame,,EXH-Furniture,1844.5
68.22.FRAME,1968,"Frame (empty) for ""Bashi-Bazouk""",,gilt frame,,EXH-Furniture,1831.5
